"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-17","5.6",",,W"," 1153",",,X"," 1153",",,W","1.5",",,0,2400","    0",",,W","61.0",",,0,2400","178.0",",,0,",,,"-9.4",",,0","-17.8",",,0","    0",",,W","  190",",,X","  190",",,X","0.0",",I,0","8.9",",,X","10.3",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-18","4.3",",,W"," 1609",",,X"," 1607",",,W","3.6",",,0,2400","   10",",,W","94.0",",,0,2400","178.0",",,0,",,,"-2.2",",,0","-9.4",",,0","   58",",,W","  250",",,X","  270",",,X","0.0",",I,0","8.0",",,X","10.3",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-19","3.9",",,W"," 0901",",,X"," 0901",",,W","0.8",",,0,2400","   53",",,W","23.0",",,0,2400","229.0",",,0,",,,"-7.2",",,0","-11.1",",,0","  300",",,W","  200",",,X","  200",",,X","0.0",",I,0","6.7",",,X","7.6",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-20","3.3",",,W"," 0937",",,X"," 0937",",,W","0.8",",,0,2400","   49",",,W","28.0",",,0,2400","229.0",",,0,",,,"-7.8",",,0","-12.8",",,0","  281",",,W","  330",",,X","  330",",,X","0.0",",I,0","6.7",",,X","7.6",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-21","7.7",",,W"," 1650",",,X"," 1649",",,W","0.0","T,,0,2400","   33",",,W","3.0",",,0,2400","229.0",",,0,",,,"-6.1",",,0","-19.4",",,0","  191",",,W","  230",",,X","  240",",,X","0.0",",I,0","13.4",",,X","17.4",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-22","7.4",",,W"," 0020",",,X"," 1227",",,W","0.0","T,,0,2400","    6",",,W","3.0",",,0,2400","203.0",",,0,",,,"-2.8",",,0","-6.1",",,0","   37",",,W","  230",",,X","  260",",,X","0.0",",I,0","11.6",",,X","14.3",",,X","    1",",,W",,,,,,,,,"    1",",,W","    1",",,0","    1",",,X",,,,,,,"    1",",,X","    1",",,X","    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-23","6.1",",,W"," 1640",",,X"," 1639",",,W","0.0","T,,0,2400","   56",",,W","0.0","T,,0,2400","152.0",",,0,",,,"5.6",",,0","-3.3",",,0","  322",",,W","  240",",,X","  230",",,X","0.0",",,0","15.6",",,X","19.7",",,X","    1",",,W",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-24","5.4",",,W"," 0321",",,X"," 0320",",,W","0.0","T,,0,2400","   84",",,W","5.0",",,0,2400","51.0",",,0,",,,"-1.7",",,0","-12.2",",,0","  490",",,W","  310",",,X","  300",",,X","0.0",",,0","11.6",",,X","14.3",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-25","6.1",",,W"," 1612",",,X"," 1356",",,W","0.5",",,0,2400","   26",",,W","23.0",",,0,2400","51.0",",,0,",,,"-8.3",",,0","-12.2",",,0","  152",",,W","  230",",,X","  230",",,X","0.0",",,0","10.7",",,X","13.0",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-26","5.3",",,W"," 1328",",,X"," 1409",",,W","0.0","T,,0,2400","   55",",,W","5.0",",,0,2400","51.0",",,0,",,,"-7.8",",,0","-14.4",",,0","  321",",,W","  240",",,X","  240",",,X","0.0",",,0","10.3",",,X","13.0",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-27","3.1",",,W"," 2106",",,X"," 2055",",,W","0.5",",,0,2400","   68",",,W","5.0",",,0,2400","51.0",",,0,",,,"-5.0",",,0","-11.1",",,0","  397",",,W","   80",",,X","   70",",,X","0.0",",,0","6.7",",,X","7.6",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-28","5.3",",,W"," 2121",",,X"," 2120",",,W","16.0",",,0,2400","    0",",,W","180.0",",,0,2400","76.0",",,0,",,,"-2.8",",,0","-8.9",",,0","    0",",,W","  240",",,X","  250",",,X","0.0",",,0","11.6",",,X","14.8",",,X","    1",",,W","    1",",,X",,,,,,,,,,,"    1",",,0","    1",",,0",,,,,,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-29","7.0",",,W"," 1256",",,X"," 1249",",,W","0.3",",,0,2400","   33",",,W","8.0",",,0,2400","203.0",",,0,",,,"-3.9",",,0","-10.0",",,0","  192",",,W","  230",",,X","  230",",,X","0.0",",,0","10.7",",,X","13.4",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-30","7.4",",,W"," 1451",",,X"," 1013",",,W","3.3",",,0,2400","   42",",,W","30.0",",,0,2400","178.0",",,0,",,,"-3.3",",,0","-10.6",",,0","  249",",,W","  230",",,X","  230",",,X","0.0",",I,0","11.2",",,X","14.8",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-01-31","6.6",",,W"," 1157",",,X"," 1156",",,W","0.8",",,0,2400","   52",",,W","8.0",",,0,2400","203.0",",,0,",,,"-4.4",",,0","-13.3",",,0","  312",",,W","  230",",,X","  240",",,X","0.0",",I,0","11.2",",,X","13.9",",,X",,,,,,,,,,,,,,,"    1",",,0","    1",",,X",,,,,,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-01","8.4",",,W"," 1226",",,X"," 1221",",,W","0.0",",,0,2400","   81",",,W","0.0",",,0,2400","203.0",",,0,",,,"3.3",",,0","-4.4",",,0","  485",",,W","  240",",,X","  240",",,X","0.0",",I,0","13.9",",,X","18.3",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-02","2.6",",,W"," 0003",",,X"," 0002",",,W","0.0",",,0,2400","   86",",,W","0.0",",,0,2400","152.0",",,0,",,,"0.0",",,0","-6.1",",,0","  516",",,W","  230",",,X","  240",",,X","0.0",",I,0","7.2",",,X","8.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-03","2.6",",,W"," 1720",",,X"," 1716",",,W","1.5",",,0,2400","   38",",,W","79.0",",,0,2400","152.0",",,0,",,,"-2.2",",,0","-8.3",",,0","  231",",,W","   50",",,X","   50",",,X","0.0",",I,0","6.7",",,X","7.6",",,X","    1",",,W","    1",",,X",,,,,,,,,,,"    1",",,W","    1",",,0",,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,"    1",",,X"
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-04","3.2",",,W"," 2137",",,X"," 2136",",,W","0.5",",,0,2400","   40",",,W","15.0",",,0,2400","178.0",",,0,",,,"-7.2",",,0","-13.9",",,0","  242",",,W","  300",",,X","  290",",,X","0.0",",I,0","6.3",",,X","8.0",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-05","4.7",",,W"," 1421",",,X"," 1622",",,W","0.0","T,,0,2400","   93",",,W","0.0","T,,0,2400","178.0",",,0,",,,"-11.1",",,0","-21.1",",,0","  565",",,W","  220",",,X","  240",",,X","0.0",",I,0","9.4",",,X","10.7",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-06","4.0",",,W"," 1210",",,X"," 1210",",,W","0.0","T,,0,2400","   98",",,W","0.0","T,,0,2400","152.0",",,0,",,,"-3.9",",,0","-11.1",",,0","  596",",,W","  240",",,X","  240",",,X","0.0",",I,0","8.0",",,X","9.8",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-07","8.6",",,W"," 2031",",,X"," 2029",",,W","0.0",",,0,2400","   12",",,W","0.0",",,0,2400","152.0",",,0,",,,"9.4",",,0","-7.2",",,0","   74",",,W","  220",",,X","  220",",,X","0.0",",,0","14.3",",,X","18.3",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-08","5.9",",,W"," 0101",",,X"," 0101",",,W","0.0","T,,0,2400","   51",",,W","0.0","T,,0,2400","51.0",",,0,",,,"6.7",",,0","-2.8",",,0","  314",",,W","  250",",,X","  250",",,X","0.0",",,0","11.2",",,X","13.9",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,W",,,,,"    1",",,X",,,,,,,,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-09","3.3",",,W"," 2139",",,X"," 2148",",,W","0.0",",,0,2400","   70",",,W","0.0",",,0,2400","0.0","T,,0,",,,"4.4",",,0","-5.0",",,0","  432",",,W","  100",",,X","   90",",,X","0.0",",,0","4.5",",,X","5.4",",,X","    1",",,W",,,,,,,,,,,"    1",",,0","    1",",,X",,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-10","5.4",",,W"," 1503",",,X"," 1503",",,W","0.0","T,,0,2400","   11",",,W","0.0",",,0,2400","0.0","T,,0,",,,"12.2",",,0","-0.6",",,0","   69",",,W","  200",",,X","  200",",,X","0.0",",,0","9.4",",,X","11.2",",,X",,,,,,,,,"    1",",,0",,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-11","4.8",",,W"," 2309",",,X"," 2359",",,W","17.8",",,0,2400","    1",",,W","0.0",",,0,2400","0.0",",,0,",,,"11.7",",,0","6.7",",,0","    8",",,W","  200",",,X","  200",",,X","0.0",",,0","10.3",",,X","11.6",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,"    1",",,W",,,,,"    1",",,X",,,,,"    1",",,X",,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-12","9.4",",,W"," 0510",",,X"," 0453",",,W","22.4",",,0,2400","    0",",,W","69.0",",,0,2400","0.0","T,,0,",,,"10.6",",,0","0.0",",,0","    0",",,W","  220",",,X","  220",",,X","0.0",",,0","18.3",",,X","24.1",",,X","    1",",,X",,,,,,,"    1",",,0","    1",",,W",,,,,,,,,,,,,,,"    1",",,0","    1",",,X","    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-13","3.3",",,W"," 0028",",,X"," 0024",",,W","0.8",",,0,2400","   78",",,W","3.0",",,0,2400","25.0",",,0,",,,"0.6",",,0","-5.0",",,0","  491",",,W","  260",",,X","  260",",,X","0.0",",,0","7.6",",,X","9.8",",,X","    1",",,W",,,,,,,,,"    1",",,W",,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-14","2.1",",,W"," 1645",",,X"," 1540",",,W","0.0",",,0,2400","   56",",,W","0.0",",,0,2400","25.0",",,0,",,,"-2.8",",,0","-7.2",",,0","  352",",,W","  290",",,X","  310",",,X","0.0",",,0","5.8",",,X","6.7",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-15","3.7",",,W"," 1638",",,X"," 1603",",,W","0.0","T,,0,2400","  100",",,W","0.0","T,,0,2400","25.0",",,0,",,,"-2.2",",,0","-7.2",",,0","  633",",,W","  250",",,X","  240",",,X","0.0",",,0","7.2",",,X","8.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-16","3.6",",,W"," 2029",",,X"," 1532",",,W","0.0","T,,0,2400","   97",",,W","0.0","T,,0,2400","25.0",",,0,",,,"-1.1",",,0","-6.7",",,0","  618",",,W","  220",",,X","  310",",,X","0.0",",,0","6.3",",,X","8.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-17","3.4",",,W"," 1252",",,X"," 1224",",,W","0.0",",,0,2400","   86",",,W","0.0",",,0,2400","0.0","T,,0,",,,"0.0",",,0","-7.2",",,0","  547",",,W","  210",",,X","  230",",,X","0.0",",,0","7.2",",,X","9.4",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-18","4.2",",,W"," 0858",",,X"," 0856",",,W","5.1",",,0,2400","    0",",,W","8.0",",,0,2400","0.0","T,,0,",,,"2.2",",,0","-3.3",",,0","    0",",,W","  170",",,X","  160",",,X","0.0",",,0","9.8",",,X","11.6",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
"USW00014733","BUFFALO NIAGARA INTERNATIONAL AIRPOR, NY US","42.93998","-78.73606","216.2","2009-02-19","8.8",",,W"," 1455",",,X"," 2342",",,W","1.3",",,0,2400","   43",",,W","18.0",",,0,2400","0.0","T,,0,",,,"1.1",",,0","-8.3",",,0","  278",",,W","  240",",,X","  250",",,X","0.0",",,0","14.3",",,X","17.4",",,X","    1",",,W",,,,,,,,,,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,,,,"    1",",,0",,,"    1",",,X",,,,
